layer,accuracy,macro_f1
0,0.9273074322980872,0.8472902164117144
1,0.93927705094047,0.8793639458657428
2,0.9465542609456397,0.8927277557546467
3,0.9551835208971249,0.9005249992494714
4,0.9566548693681155,0.9042015695417636
5,0.9589613075118304,0.9131546383900554
6,0.9609098500815206,0.9170644733066464
7,0.9597963971845548,0.9103274642417182
8,0.9590408398616137,0.91593264189461
9,0.9515647989819859,0.909241664048244
10,0.9465542609456397,0.9006775707745055
11,0.9398337773889529,0.8954005886858373
