layer,baseline_pearson,ablated_pearson,pearson_drop,mse_increase
0,0.8234395328140959,0.8289969443400477,-0.005557411525951794,-0.0005518849908237762
1,0.8234395328140959,0.8283202793868994,-0.004880746572803574,-0.0003506252121438687
2,0.8234395328140959,0.8266575613477687,-0.003218028533672812,-0.00018327339769434736
3,0.8234395328140959,0.8242567579819345,-0.0008172251678386644,-0.00024989671550875586
4,0.8234395328140959,0.822692650114157,0.0007468826999388334,-6.892882023717614e-05
5,0.8234395328140959,0.8212452101928938,0.002194322621202116,0.0005177971716378224
6,0.8234395328140959,0.8206315379643762,0.0028079948497197194,0.0005733484348602533
7,0.8234395328140959,0.8196754887183223,0.0037640440957735777,0.0005099497099476866
8,0.8234395328140959,0.8199167856096227,0.003522747204473209,0.00041635281711551245
9,0.8234395328140959,0.817816311661726,0.005623221152369906,0.000802733760569406
10,0.8234395328140959,0.8153174905901589,0.008122042223936976,0.001320992165290056
11,0.8234395328140959,0.8180985029892466,0.005341029824849297,0.001698562420697755
