layer,pearson,spearman,mse,pooling
0,0.21893192032633654,0.2121348569488253,0.09666302300183262,mean
1,0.7102545776750157,0.7275933082636925,0.060816259442376557,mean
2,0.7624417604911761,0.7670161062293805,0.04159527372323069,mean
3,0.8076658157179383,0.810646813620806,0.033979357311193316,mean
4,0.7934565576384535,0.7933419988186662,0.034390525524664116,mean
5,0.8115626712544245,0.8144959388870839,0.03117324312423177,mean
6,0.8020997815402622,0.8041968409763738,0.03273305826947708,mean
7,0.8087338578683352,0.8086484376215278,0.0320679806915936,mean
8,0.8019594263370791,0.8043312943694642,0.03487928772862462,mean
9,0.7870918336698304,0.7894122512943339,0.04189827582164236,mean
10,0.7897734051327557,0.7886500500666889,0.03602875659949605,mean
11,0.8071047070752021,0.8074797508798893,0.038682903727649154,mean
